h_mean,s_mean,v_mean,label,lighting,angle,bg
88.66091796875,197.28693033854168,166.815048828125,10k,lamp,front,turquoise
88.39452473958333,197.31252604166667,166.77513020833334,10k,lamp,front,turquoise
88.98616861979167,197.7969921875,166.89712890625,10k,lamp,front,turquoise
88.28965494791667,197.53205078125,166.99996744791667,10k,lamp,front,turquoise
88.57094075520833,197.74503255208333,166.980712890625,10k,lamp,front,turquoise
88.68134440104167,198.23007486979168,167.43606770833333,10k,lamp,front,turquoise
88.79129231770834,198.32195963541668,167.46235026041666,10k,lamp,front,turquoise
88.51480143229166,197.893955078125,167.5033203125,10k,lamp,front,turquoise
88.33894205729166,198.29097330729167,167.58318359375,10k,lamp,front,turquoise
88.19739908854167,198.030107421875,167.579580078125,10k,lamp,front,turquoise
88.93756510416667,198.10555989583332,167.46256184895833,10k,lamp,front,turquoise
88.302177734375,198.04115234375,167.49369140625,10k,lamp,front,turquoise
88.801962890625,198.149306640625,167.60407877604166,10k,lamp,front,turquoise
88.79142903645834,198.00866861979168,167.39686197916666,10k,lamp,front,turquoise
88.99417317708334,197.83362955729166,167.505048828125,10k,lamp,front,turquoise
89.141826171875,197.87738606770833,167.51791015625,10k,lamp,front,turquoise
89.1531640625,197.75907877604166,167.44659830729168,10k,lamp,front,turquoise
88.9686328125,198.05063151041668,167.42662434895834,10k,lamp,front,turquoise
88.36865885416667,197.78558268229168,167.39725260416665,10k,lamp,front,turquoise
88.85391276041666,197.610927734375,167.25591471354167,10k,lamp,front,turquoise
87.61240559895833,197.47633463541666,167.32092447916668,10k,lamp,front,turquoise
88.97658854166667,197.31007486979166,167.16102864583334,10k,lamp,front,turquoise
88.413486328125,197.55965494791667,167.27259440104166,10k,lamp,front,turquoise
88.6176953125,197.92525065104167,167.31690755208334,10k,lamp,front,turquoise
89.27259114583333,197.330595703125,167.14804036458332,10k,lamp,front,turquoise
88.62281575520834,197.35579752604167,167.13248372395833,10k,lamp,front,turquoise
88.55923177083334,197.4112890625,167.15831705729167,10k,lamp,front,turquoise
88.61462565104166,197.420771484375,166.92064778645835,10k,lamp,front,turquoise
88.378701171875,197.29400716145832,166.76569661458333,10k,lamp,front,turquoise
88.818349609375,197.39724934895833,166.97570963541668,10k,lamp,front,turquoise
88.86152018229167,196.98682291666665,167.11925455729167,10k,lamp,front,turquoise
87.936474609375,197.356181640625,167.19397135416668,10k,lamp,front,turquoise
87.86034830729167,197.29937825520832,167.20087565104166,10k,lamp,front,turquoise
88.81757486979167,197.364169921875,167.23306315104168,10k,lamp,front,turquoise
88.70047526041667,197.45591471354166,167.23555989583335,10k,lamp,front,turquoise
88.97115885416666,197.24376627604167,167.230205078125,10k,lamp,front,turquoise
88.62311848958333,197.42318033854167,167.361025390625,10k,lamp,front,turquoise
87.31250651041667,197.44691731770834,167.44294921875,10k,lamp,front,turquoise
88.2085546875,197.643505859375,167.45923177083333,10k,lamp,front,turquoise
